,region,service,mode,percent
545,Tokoroa,primary_school,driving,100.0
546,Tokoroa,oral_health,cycling,99.0
547,Tokoroa,oral_health,walking,90.0
548,Tokoroa,oral_health,driving,100.0
549,Tokoroa,all,cycling,94.0
550,Tokoroa,all,walking,17.0
551,Tokoroa,all,driving,100.0
552,Whakatāne,greenspace,cycling,95.0
553,Whakatāne,greenspace,walking,91.0
554,Whakatāne,greenspace,driving,97.0
555,Whakatāne,supermarket,cycling,90.0
556,Whakatāne,supermarket,walking,44.0
557,Whakatāne,supermarket,driving,100.0
558,Whakatāne,ece,cycling,98.0
559,Whakatāne,ece,walking,85.0
560,Whakatāne,ece,driving,100.0
561,Whakatāne,doctor,cycling,90.0
562,Whakatāne,doctor,walking,46.0
563,Whakatāne,doctor,driving,100.0
564,Whakatāne,pharmacy,cycling,90.0
565,Whakatāne,pharmacy,walking,51.0
566,Whakatāne,pharmacy,driving,100.0
567,Whakatāne,primary_school,cycling,100.0
568,Whakatāne,primary_school,walking,72.0
569,Whakatāne,primary_school,driving,100.0
570,Whakatāne,oral_health,cycling,93.0
571,Whakatāne,oral_health,walking,69.0
572,Whakatāne,oral_health,driving,100.0
573,Whakatāne,all,cycling,90.0
574,Whakatāne,all,walking,39.0
575,Whakatāne,all,driving,98.0
576,Havelock North,greenspace,cycling,100.0
577,Havelock North,greenspace,walking,92.0
578,Havelock North,greenspace,driving,100.0
579,Havelock North,supermarket,cycling,95.0
580,Havelock North,supermarket,walking,53.0
581,Havelock North,supermarket,driving,100.0
582,Havelock North,ece,cycling,97.0
583,Havelock North,ece,walking,74.0
584,Havelock North,ece,driving,100.0
585,Havelock North,doctor,cycling,94.0
586,Havelock North,doctor,walking,46.0
587,Havelock North,doctor,driving,100.0
588,Havelock North,pharmacy,cycling,93.0
589,Havelock North,pharmacy,walking,45.0
590,Havelock North,pharmacy,driving,100.0
591,Havelock North,primary_school,cycling,99.0
592,Havelock North,primary_school,walking,58.0
593,Havelock North,primary_school,driving,100.0
594,Havelock North,oral_health,cycling,98.0
595,Havelock North,oral_health,walking,50.0
596,Havelock North,oral_health,driving,100.0
597,Havelock North,all,cycling,93.0
598,Havelock North,all,walking,32.0
599,Havelock North,all,driving,100.0
600,Palmerston North,greenspace,cycling,100.0
601,Palmerston North,greenspace,walking,98.0
602,Palmerston North,greenspace,driving,100.0
603,Palmerston North,supermarket,cycling,98.0
604,Palmerston North,supermarket,walking,71.0
605,Palmerston North,supermarket,driving,99.0
606,Palmerston North,ece,cycling,98.0
607,Palmerston North,ece,walking,94.0
608,Palmerston North,ece,driving,100.0
609,Palmerston North,doctor,cycling,96.0
610,Palmerston North,doctor,walking,70.0
611,Palmerston North,doctor,driving,100.0
612,Palmerston North,pharmacy,cycling,97.0
613,Palmerston North,pharmacy,walking,69.0
614,Palmerston North,pharmacy,driving,100.0
615,Palmerston North,primary_school,cycling,97.0
616,Palmerston North,primary_school,walking,79.0
617,Palmerston North,primary_school,driving,100.0
618,Palmerston North,oral_health,cycling,98.0
619,Palmerston North,oral_health,walking,82.0
620,Palmerston North,oral_health,driving,100.0
621,Palmerston North,all,cycling,95.0
622,Palmerston North,all,walking,50.0
623,Palmerston North,all,driving,99.0
624,Richmond,greenspace,cycling,100.0
625,Richmond,greenspace,walking,94.0
626,Richmond,greenspace,driving,100.0
627,Richmond,supermarket,cycling,99.0
628,Richmond,supermarket,walking,46.0
629,Richmond,supermarket,driving,100.0
630,Richmond,ece,cycling,100.0
631,Richmond,ece,walking,91.0
632,Richmond,ece,driving,100.0
633,Richmond,doctor,cycling,99.0
634,Richmond,doctor,walking,53.0
635,Richmond,doctor,driving,100.0
636,Richmond,pharmacy,cycling,97.0
637,Richmond,pharmacy,walking,39.0
638,Richmond,pharmacy,driving,100.0
639,Richmond,primary_school,cycling,100.0
640,Richmond,primary_school,walking,56.0
641,Richmond,primary_school,driving,100.0
642,Richmond,oral_health,cycling,96.0
643,Richmond,oral_health,walking,34.0
644,Richmond,oral_health,driving,100.0
645,Richmond,all,cycling,93.0
646,Richmond,all,walking,19.0
647,Richmond,all,driving,100.0
648,New Plymouth,greenspace,cycling,100.0
649,New Plymouth,greenspace,walking,94.0
650,New Plymouth,greenspace,driving,99.0
651,New Plymouth,supermarket,cycling,98.0
652,New Plymouth,supermarket,walking,44.0
653,New Plymouth,supermarket,driving,100.0
654,New Plymouth,ece,cycling,97.0
655,New Plymouth,ece,walking,84.0
656,New Plymouth,ece,driving,100.0
657,New Plymouth,doctor,cycling,95.0
658,New Plymouth,doctor,walking,48.0
659,New Plymouth,doctor,driving,100.0
660,New Plymouth,pharmacy,cycling,98.0
661,New Plymouth,pharmacy,walking,57.0
662,New Plymouth,pharmacy,driving,100.0
663,New Plymouth,primary_school,cycling,97.0
664,New Plymouth,primary_school,walking,76.0
665,New Plymouth,primary_school,driving,100.0
666,New Plymouth,oral_health,cycling,97.0
667,New Plymouth,oral_health,walking,49.0
668,New Plymouth,oral_health,driving,100.0
669,New Plymouth,all,cycling,95.0
670,New Plymouth,all,walking,15.0
671,New Plymouth,all,driving,100.0
672,Napier,greenspace,cycling,98.0
673,Napier,greenspace,walking,93.0
674,Napier,greenspace,driving,100.0
675,Napier,supermarket,cycling,97.0
676,Napier,supermarket,walking,68.0
677,Napier,supermarket,driving,100.0
678,Napier,ece,cycling,97.0
679,Napier,ece,walking,84.0
680,Napier,ece,driving,100.0
681,Napier,doctor,cycling,97.0
682,Napier,doctor,walking,68.0
683,Napier,doctor,driving,100.0
684,Napier,pharmacy,cycling,96.0
685,Napier,pharmacy,walking,72.0
686,Napier,pharmacy,driving,100.0
687,Napier,primary_school,cycling,97.0
688,Napier,primary_school,walking,82.0
689,Napier,primary_school,driving,100.0
690,Napier,oral_health,cycling,96.0
691,Napier,oral_health,walking,75.0
692,Napier,oral_health,driving,100.0
693,Napier,all,cycling,96.0
694,Napier,all,walking,47.0
695,Napier,all,driving,100.0
696,Levin,greenspace,cycling,97.0
697,Levin,greenspace,walking,95.0
698,Levin,greenspace,driving,100.0
