,mode,dest_type,region,duration,suburb
0,walking,doctor,Auckland,5.349902534113061,Milford West
0,walking,primary_school,Auckland,8.925925925925926,Milford West
0,walking,greenspace,Auckland,3.6744639376218324,Milford West
0,walking,all,Auckland,10.933723196881092,Milford West
0,walking,supermarket,Auckland,6.951530612244898,Hobsonville
0,walking,ece,Auckland,5.479591836734694,Hobsonville
0,walking,pharmacy,Auckland,9.079081632653061,Hobsonville
0,walking,doctor,Auckland,5.885204081632653,Hobsonville
0,walking,primary_school,Auckland,12.808673469387756,Hobsonville
0,walking,greenspace,Auckland,3.104591836734694,Hobsonville
0,walking,all,Auckland,14.451530612244898,Hobsonville
0,walking,supermarket,Auckland,17.115629984051036,Hobsonville Point
0,walking,ece,Auckland,6.896331738437001,Hobsonville Point
0,walking,pharmacy,Auckland,7.1746411483253585,Hobsonville Point
0,walking,doctor,Auckland,7.138755980861244,Hobsonville Point
0,walking,primary_school,Auckland,7.78548644338118,Hobsonville Point
0,walking,greenspace,Auckland,1.1164274322169059,Hobsonville Point
0,walking,all,Auckland,17.567783094098882,Hobsonville Point
0,walking,supermarket,Auckland,54.741408934707906,Greenhithe West
0,walking,ece,Auckland,7.006872852233677,Greenhithe West
0,walking,pharmacy,Auckland,10.813573883161512,Greenhithe West
0,walking,doctor,Auckland,9.287800687285223,Greenhithe West
0,walking,primary_school,Auckland,10.338487972508592,Greenhithe West
0,walking,greenspace,Auckland,4.101374570446735,Greenhithe West
0,walking,all,Auckland,54.741408934707906,Greenhithe West
0,walking,supermarket,Auckland,17.35,Albany West
0,walking,ece,Auckland,7.228888888888889,Albany West
0,walking,pharmacy,Auckland,11.692222222222222,Albany West
0,walking,doctor,Auckland,13.617777777777778,Albany West
0,walking,primary_school,Auckland,10.331111111111111,Albany West
0,walking,greenspace,Auckland,2.7,Albany West
0,walking,all,Auckland,18.376666666666665,Albany West
0,walking,supermarket,Auckland,52.569069069069066,Greenhithe South
0,walking,ece,Auckland,21.435435435435437,Greenhithe South
0,walking,pharmacy,Auckland,27.7972972972973,Greenhithe South
0,walking,doctor,Auckland,28.433933933933933,Greenhithe South
0,walking,primary_school,Auckland,22.31831831831832,Greenhithe South
0,walking,greenspace,Auckland,2.659159159159159,Greenhithe South
0,walking,all,Auckland,52.569069069069066,Greenhithe South
0,walking,supermarket,Auckland,13.15127528583993,Albany South
0,walking,ece,Auckland,7.379947229551451,Albany South
0,walking,pharmacy,Auckland,10.583992963940194,Albany South
0,walking,doctor,Auckland,13.102022867194371,Albany South
0,walking,primary_school,Auckland,19.17590149516271,Albany South
0,walking,greenspace,Auckland,0.9674582233948988,Albany South
0,walking,all,Auckland,19.75461741424802,Albany South
0,walking,supermarket,Auckland,12.439285714285715,North Harbour
0,walking,ece,Auckland,11.153571428571428,North Harbour
0,walking,pharmacy,Auckland,12.146428571428572,North Harbour
0,walking,doctor,Auckland,13.389285714285714,North Harbour
0,walking,primary_school,Auckland,23.885714285714286,North Harbour
0,walking,greenspace,Auckland,3.05,North Harbour
0,walking,all,Auckland,23.885714285714286,North Harbour
0,walking,supermarket,Auckland,20.39781746031746,Belmont (Auckland)
0,walking,ece,Auckland,6.214285714285714,Belmont (Auckland)
0,walking,pharmacy,Auckland,7.315476190476191,Belmont (Auckland)
0,walking,doctor,Auckland,7.813492063492063,Belmont (Auckland)
0,walking,primary_school,Auckland,7.319444444444445,Belmont (Auckland)
0,walking,greenspace,Auckland,2.4484126984126986,Belmont (Auckland)
0,walking,all,Auckland,20.39781746031746,Belmont (Auckland)
0,walking,supermarket,Auckland,21.316989737742304,Rānui South West
0,walking,ece,Auckland,7.462941847206386,Rānui South West
0,walking,pharmacy,Auckland,19.541619156214367,Rānui South West
0,walking,doctor,Auckland,18.836944127708097,Rānui South West
0,walking,primary_school,Auckland,9.683010262257696,Rānui South West
0,walking,greenspace,Auckland,5.916761687571266,Rānui South West
0,walking,all,Auckland,21.316989737742304,Rānui South West
0,walking,supermarket,Auckland,8.287203791469194,Avondale Central (Auckland)
0,walking,ece,Auckland,4.043601895734597,Avondale Central (Auckland)
0,walking,pharmacy,Auckland,6.412322274881516,Avondale Central (Auckland)
0,walking,doctor,Auckland,5.107109004739336,Avondale Central (Auckland)
0,walking,primary_school,Auckland,6.667298578199052,Avondale Central (Auckland)
0,walking,greenspace,Auckland,2.5279620853080567,Avondale Central (Auckland)
0,walking,all,Auckland,8.591469194312797,Avondale Central (Auckland)
0,walking,supermarket,Auckland,16.97872340425532,Grafton
0,walking,ece,Auckland,5.783687943262412,Grafton
0,walking,pharmacy,Auckland,5.790780141843972,Grafton
0,walking,doctor,Auckland,12.74645390070922,Grafton
0,walking,primary_school,Auckland,16.411347517730498,Grafton
